,Date,negative_vader,neutral_vader,positive_vader,negative,neutral,positive,title_vader_sentiment,headline_vader_sentiment,finbert_numeric,average_title_vader_10periods,average_headline_vader_10periods,average_finbert_10periods
179,2016-01-17,4,0,2,3,3,0,-0.034633333333333335,-0.10287222222222225,-0.4444444444444444,-0.027574569444444454,0.09543754166666665,-0.3234722222222222
180,2016-01-24,3,0,6,5,3,1,-0.03074166666666666,0.06669166666666665,-0.20833333333333331,-0.031129152777777787,0.07765254166666664,-0.36930555555555555
181,2016-01-31,5,0,6,4,6,1,-0.09084375,-0.10675624999999998,-0.20833333333333331,-0.04407915277777778,0.05063679166666666,-0.38013888888888886
182,2016-02-07,5,1,5,5,2,4,0.0038958333333333345,-0.15622083333333334,-0.08333333333333333,-0.04907248611111112,0.03057720833333332,-0.3509722222222222
183,2016-02-14,5,1,4,5,1,4,0.10482916666666664,0.0006104166666666792,0.10416666666666669,-0.04114019444444446,0.035105749999999984,-0.27805555555555556
184,2016-02-21,4,0,7,8,1,2,-0.012370833333333345,0.16596666666666668,-0.5,-0.06289394444444445,0.03152991666666666,-0.2947222222222222
185,2016-02-28,2,2,3,2,4,1,-0.05361250000000001,0.1738125,-0.125,-0.0810577777777778,0.045482083333333326,-0.25555555555555554
186,2016-03-06,8,2,3,7,4,2,-0.0508975,-0.17948125,-0.3375,-0.07392690277777778,0.029313958333333324,-0.2580555555555556
187,2016-03-13,6,1,3,8,1,1,-0.16444888888888887,-0.11189777777777776,-0.6,-0.09282234722222223,0.022655291666666657,-0.24027777777777776
188,2016-03-20,5,1,3,3,4,2,-0.09638749999999999,-0.1041875,-0.125,-0.04252109722222223,-0.03543345833333335,-0.25277777777777777
189,2016-03-27,6,0,6,6,2,4,-0.1210875,-0.058949999999999995,-0.25,-0.05116651388888889,-0.03104123611111112,-0.2333333333333333
190,2016-04-03,1,1,7,2,4,3,0.05646249999999999,0.419075,0.0,-0.04244609722222222,0.004197097222222212,-0.2125
191,2016-04-10,6,0,3,5,2,2,0.04497083333333333,-0.3118375,-0.5,-0.028864638888888888,-0.016311027777777785,-0.24166666666666664
192,2016-04-17,1,2,6,2,3,4,0.042725,0.23964375,0.5,-0.024981722222222228,0.023275430555555542,-0.18333333333333335
193,2016-04-24,3,0,3,4,1,1,-0.11684999999999998,0.18154166666666666,-0.75,-0.04714963888888889,0.04136855555555554,-0.26875
194,2016-05-01,5,1,3,3,4,2,0.08861666666666668,0.041181250000000016,-0.25,-0.03705088888888889,0.02889001388888888,-0.24375
195,2016-05-08,5,1,5,6,3,2,-0.144625,-0.08684499999999999,-0.275,-0.04615213888888888,0.0028242638888888753,-0.25875
196,2016-05-15,5,0,4,5,0,4,-0.14591875,0.050581249999999994,-0.08333333333333333,-0.05565426388888889,0.02583051388888887,-0.23333333333333334
197,2016-05-22,2,0,9,5,5,1,0.09992333333333334,0.19389333333333333,-0.23333333333333334,-0.029217041666666665,0.056409624999999984,-0.19666666666666668
198,2016-05-29,5,0,2,4,2,1,0.04519999999999996,-0.2566875,-0.375,-0.015058291666666673,0.041159624999999984,-0.22166666666666668
199,2016-06-05,3,0,10,4,4,5,0.02829583333333334,0.21006875,0.020833333333333343,-0.00011995833333333928,0.06806149999999998,-0.19458333333333333
200,2016-06-12,4,1,2,2,4,1,-0.10096111111111111,-0.20558333333333334,-0.16666666666666666,-0.01586231944444445,0.005595666666666652,-0.21125
201,2016-06-19,7,2,3,5,6,1,0.06421666666666666,-0.11552291666666666,-0.29166666666666663,-0.013937736111111116,0.02522712499999999,-0.19041666666666665
202,2016-06-26,3,1,7,3,2,6,0.036041666666666666,0.2235916666666667,0.25,-0.014606069444444453,0.02362191666666666,-0.21541666666666667
203,2016-07-03,2,4,5,5,3,3,0.059568750000000004,0.12205833333333332,-0.29166666666666663,0.0030358055555555472,0.017673583333333326,-0.16958333333333334
204,2016-07-10,2,1,7,2,6,2,0.11865555555555556,0.21765833333333331,-0.027777777777777752,0.006039694444444435,0.03532129166666666,-0.1473611111111111
205,2016-07-17,2,0,5,3,2,2,0.023591666666666667,0.3347,-0.08333333333333333,0.022861361111111103,0.07747579166666665,-0.12819444444444444
206,2016-07-24,5,1,4,6,2,2,0.0395375,-0.028066666666666684,-0.41666666666666663,0.041406986111111106,0.06961099999999998,-0.16152777777777777
207,2016-07-31,4,3,4,5,3,3,0.05269791666666665,0.0417,-0.125,0.036684444444444436,0.05439166666666665,-0.1506944444444444
208,2016-08-07,2,1,5,4,2,2,0.04037777777777777,0.28986666666666666,-0.16666666666666666,0.03620222222222222,0.10904708333333332,-0.1298611111111111
209,2016-08-14,2,1,4,2,2,3,0.048916666666666664,0.19152222222222223,0.16666666666666666,0.03826430555555555,0.10719243055555554,-0.11527777777777777
210,2016-08-21,0,1,7,3,2,3,0.18449583333333333,0.43656666666666666,0.125,0.06681,0.17140743055555557,-0.0861111111111111
211,2016-08-28,2,2,4,3,4,1,-0.14228333333333334,0.05194999999999998,-0.5,0.04615999999999999,0.1881547222222222,-0.10694444444444444
212,2016-09-04,4,1,5,2,2,6,-0.17447916666666669,0.07381666666666667,0.5,0.025107916666666657,0.1731772222222222,-0.08194444444444444
213,2016-09-11,4,1,7,5,2,5,0.024294999999999997,0.194675,0.23333333333333334,0.021580541666666658,0.18043888888888887,-0.029444444444444433
214,2016-09-18,7,1,3,6,3,2,-0.00028666666666666077,-0.059922500000000004,-0.18333333333333335,0.009686319444444435,0.15268080555555552,-0.045
215,2016-09-25,1,2,6,0,6,3,-0.02584166666666666,0.30445833333333333,0.24999999999999997,0.004742986111111102,0.1496566388888889,-0.011666666666666672
216,2016-10-02,1,0,6,4,1,2,0.014187500000000006,0.30972500000000003,-0.375,0.0022079861111111033,0.18343580555555555,-0.007500000000000007
217,2016-10-09,2,0,5,2,2,3,0.11470000000000001,0.15230000000000002,0.25,0.008408194444444439,0.19449580555555554,0.029999999999999992
218,2016-10-16,2,1,7,2,3,5,0.06705208333333332,0.23990625,0.04166666666666666,0.011075624999999995,0.18949976388888887,0.05083333333333332
219,2016-10-23,2,0,3,2,2,1,0.11304444444444443,0.4443111111111111,0.11111111111111112,0.017488402777777773,0.2147786527777778,0.04527777777777777
220,2016-10-30,0,1,7,5,2,1,0.261775,0.3244458333333333,-0.29166666666666663,0.025216319444444434,0.20356656944444446,0.003611111111111109
221,2016-11-06,2,1,5,2,4,2,0.0929875,0.28600416666666667,-0.16666666666666669,0.048743402777777764,0.2269719861111111,0.03694444444444444
222,2016-11-13,1,1,4,3,2,1,0.12204444444444444,0.062244444444444436,-0.4444444444444444,0.07839576388888889,0.2258147638888889,-0.057499999999999996
223,2016-11-20,1,1,5,3,0,4,-0.08077499999999999,0.20795,0.25,0.06788876388888888,0.22714226388888886,-0.05583333333333333
224,2016-11-27,3,1,3,4,2,1,0.015199999999999998,-0.0167875,-0.375,0.06943743055555554,0.23145576388888892,-0.075
225,2016-12-04,3,2,6,4,4,3,0.007906249999999993,0.212525,0.125,0.07281222222222221,0.22226243055555553,-0.0875
226,2016-12-11,1,2,5,3,1,4,0.12837500000000002,0.30464166666666664,0.08333333333333331,0.08423097222222223,0.22175409722222222,-0.04166666666666667
227,2016-12-18,2,0,7,1,4,4,0.16321,0.3920925,0.425,0.08908197222222222,0.24573334722222223,-0.024166666666666677
228,2016-12-25,5,1,5,7,3,1,0.22033999999999998,0.061985,-0.5166666666666666,0.10441076388888888,0.2279412222222222,-0.07999999999999999
229,2017-01-22,1,2,4,2,2,3,0.022237500000000007,0.16965,0.25,0.09533006944444444,0.2004751111111111,-0.0661111111111111
230,2017-01-29,2,1,6,3,4,2,-0.030990000000000004,0.38634,-0.175,0.06605356944444443,0.20666452777777775,-0.05444444444444445
231,2017-02-05,3,2,6,4,5,2,-0.06344166666666667,0.17459791666666669,-0.14583333333333331,0.050410652777777766,0.19552390277777776,-0.0523611111111111
232,2017-02-12,1,0,8,3,2,4,-0.053687500000000006,0.46708333333333335,0.20833333333333334,0.032837458333333326,0.23600779166666666,0.012916666666666668
233,2017-02-19,5,0,9,4,6,4,0.129125,0.06898750000000001,-0.08333333333333334,0.05382745833333332,0.22211154166666666,-0.020416666666666666
234,2017-02-26,1,4,5,4,2,4,0.16661666666666666,0.2767645833333333,-0.22916666666666666,0.06896912499999999,0.25146674999999996,-0.005833333333333332
235,2017-03-05,3,3,3,2,4,3,0.07819166666666666,0.018170833333333344,0.125,0.07599766666666666,0.23203133333333334,-0.005833333333333332
236,2017-03-12,3,0,6,2,0,7,0.10976875,0.39074583333333335,0.7083333333333333,0.07413704166666665,0.24064175,0.056666666666666664
237,2017-03-19,6,0,7,5,5,3,-0.007574999999999998,0.014679166666666688,-0.12499999999999999,0.057058541666666664,0.20290041666666667,0.0016666666666666676
238,2017-03-26,0,0,6,2,1,3,-0.255425,0.5819625,0.25,0.009482041666666658,0.25489816666666665,0.07833333333333334
239,2017-04-02,4,0,5,3,4,2,-0.007844444444444454,0.06685555555555556,-0.11111111111111109,0.006473847222222211,0.24461872222222225,0.042222222222222223
240,2017-04-09,4,1,4,3,2,4,0.130575,-0.2062,-0.125,0.02263034722222221,0.18536472222222222,0.04722222222222222
241,2017-04-16,3,1,4,3,2,3,0.2703,0.09973,0.0,0.05600451388888887,0.17787793055555556,0.06180555555555556
242,2017-04-23,5,3,5,1,7,5,-0.01033333333333333,0.09674166666666667,0.5,0.060339930555555546,0.14084376388888892,0.09097222222222222
243,2017-04-30,5,2,1,2,5,1,0.007524999999999997,-0.14192500000000002,0.08333333333333334,0.04817993055555554,0.1197525138888889,0.10763888888888888
244,2017-05-07,2,1,5,1,6,1,0.06927083333333334,0.34687083333333335,0.04166666666666667,0.03844534722222222,0.12676313888888888,0.13472222222222222
245,2017-05-14,3,4,2,3,4,2,0.0361475,0.11426750000000001,0.15,0.03424093055555555,0.13637280555555556,0.13722222222222222
246,2017-05-21,3,0,5,3,2,3,-0.16809375,0.06924999999999998,0.0,0.006454680555555548,0.10422322222222222,0.0663888888888889
247,2017-05-28,3,1,7,4,5,2,0.030779999999999995,0.16128666666666666,-0.3333333333333333,0.010290180555555547,0.1188839722222222,0.045555555555555564
248,2017-06-04,2,1,4,2,3,2,0.05342500000000001,0.09653333333333332,0.20833333333333334,0.04117518055555555,0.07034105555555555,0.0413888888888889
249,2017-06-11,2,1,8,4,6,1,-0.058962500000000015,0.16979791666666666,-0.22916666666666666,0.036063374999999995,0.08063529166666665,0.02958333333333334
250,2017-06-18,5,1,4,2,4,4,0.033023333333333335,-0.21553666666666665,0.2,0.026308208333333326,0.07970162499999997,0.062083333333333345
251,2017-06-25,0,0,7,0,3,4,0.41625416666666665,0.45185416666666667,0.5,0.040903625,0.11491404166666666,0.11208333333333335
252,2017-07-02,6,1,1,3,3,2,0.022766666666666668,-0.15987083333333335,0.04166666666666667,0.04421362499999999,0.08925279166666664,0.06625
253,2017-07-09,1,2,1,2,0,2,0.0,-0.208,-0.3333333333333333,0.043461125,0.08264529166666665,0.024583333333333346
254,2017-07-16,2,1,4,0,3,4,0.10389166666666665,-0.05993333333333334,0.4166666666666667,0.04692320833333333,0.04196487499999998,0.06208333333333336
255,2017-07-23,1,3,3,1,5,1,-0.08165555555555555,-0.11458888888888889,-0.22222222222222224,0.035142902777777776,0.019079236111111092,0.024861111111111125
256,2017-07-30,4,0,5,2,5,2,0.25443333333333334,-0.02913749999999999,0.20833333333333334,0.07739561111111111,0.009240486111111095,0.04569444444444446
257,2017-08-06,3,1,4,4,1,3,-0.01562,0.02643000000000002,-0.3,0.0727556111111111,-0.00424518055555557,0.04902777777777779
258,2017-08-13,3,1,4,4,1,3,0.07545416666666664,-0.024808333333333314,-0.20833333333333331,0.07495852777777777,-0.016379347222222236,0.007361111111111124
259,2017-08-20,4,4,5,3,6,4,-0.011146666666666668,0.12292,0.1,0.0797401111111111,-0.0210671388888889,0.04027777777777779
260,2017-08-27,2,1,3,1,4,1,0.0683,0.2709375,0.0,0.08326777777777777,0.027580277777777766,0.02027777777777779
261,2017-09-03,2,0,8,2,5,3,0.10232916666666667,0.22657916666666666,0.04166666666666667,0.05187527777777777,0.005052777777777767,-0.025555555555555536
262,2017-09-10,4,0,5,3,3,3,-0.05424444444444445,0.12060000000000004,0.0,0.04417416666666667,0.03309986111111111,-0.029722222222222205
263,2017-09-17,2,1,4,2,4,1,0.10016250000000002,0.07483333333333334,-0.04166666666666666,0.054190416666666665,0.061383194444444435,-0.0005555555555555411
264,2017-09-24,0,5,4,2,7,0,0.079825,0.181475,-0.1875,0.05178375,0.08552402777777778,-0.060972222222222205
265,2017-10-01,3,1,1,2,3,0,0.0734,-0.19460000000000002,-0.5,0.06728930555555557,0.07752291666666666,-0.08874999999999998
266,2017-10-08,3,0,5,2,5,1,0.037533333333333335,0.147275,-0.08333333333333333,0.04559930555555556,0.09516416666666666,-0.11791666666666664
267,2017-10-15,4,0,5,1,5,3,0.022766666666666668,0.15687083333333335,0.20833333333333331,0.04943797222222222,0.10820824999999998,-0.06708333333333331
268,2017-10-22,1,1,3,1,2,2,0.068475,0.23139166666666666,0.25,0.048740055555555564,0.13382824999999998,-0.021249999999999984
269,2017-10-29,0,2,3,1,3,1,-0.07811666666666665,0.2092333333333333,0.0,0.042043055555555556,0.14245958333333333,-0.03124999999999999
270,2017-11-05,4,1,4,1,6,2,0.0016062500000000018,-0.02549375000000001,0.125,0.03537368055555556,0.11281645833333331,-0.01874999999999999
271,2017-11-12,1,1,6,1,5,2,0.0879,0.2785083333333333,0.08333333333333333,0.033930763888888896,0.11800937499999997,-0.01458333333333332
272,2017-11-19,1,1,1,1,1,1,0.09106666666666667,0.04980000000000001,0.0,0.04846187500000001,0.11092937499999997,-0.01458333333333332
273,2017-11-26,2,0,4,1,4,1,-0.06545000000000001,0.149125,-0.125,0.031900625,0.11835854166666664,-0.022916666666666655
274,2017-12-03,1,6,7,3,8,3,0.092105,0.19703,0.16666666666666669,0.03312862500000001,0.11991404166666664,0.012500000000000015
275,2017-12-10,2,4,9,2,9,4,-0.04411400000000001,0.208828,0.11333333333333333,0.021377225000000003,0.16025684166666665,0.07383333333333333
276,2017-12-17,1,8,8,3,12,2,0.115192,0.17678366666666667,-0.2,0.029143091666666666,0.1632077083333333,0.06216666666666668
277,2017-12-24,1,6,6,1,8,4,0.14346111111111112,0.251075,0.27777777777777773,0.041212536111111114,0.172628125,0.06911111111111112
278,2018-01-07,0,2,0,0,1,1,-0.28595,0.0,0.5,0.005770036111111115,0.14948895833333334,0.09411111111111112
279,2018-01-14,4,3,2,4,2,3,-0.19679333333333332,-0.10324,0.0666666666666667,-0.00609763055555555,0.11824162499999998,0.10077777777777779
280,2018-01-21,9,4,3,5,7,4,-0.043625833333333336,-0.15881833333333334,-0.10416666666666667,-0.010620838888888885,0.10490916666666665,0.07786111111111112
281,2018-01-28,3,7,5,1,9,5,0.10458333333333332,0.09128750000000001,0.425,-0.008952505555555556,0.08618708333333333,0.1120277777777778
282,2018-02-04,3,3,7,2,8,3,0.053213333333333335,0.18061833333333335,0.016666666666666673,-0.012737838888888886,0.09926891666666667,0.11369444444444446
283,2018-02-11,6,2,5,4,5,4,-0.14415166666666665,-0.05591666666666666,0.061111111111111116,-0.02060800555555555,0.07876475,0.13230555555555557
284,2018-02-18,9,6,6,9,8,4,-0.09057246031746032,-0.04189563492063494,-0.2222222222222222,-0.03887575158730158,0.054872186507936495,0.09341666666666666
285,2018-02-25,9,4,8,6,10,5,-0.08426,-0.03947066666666667,0.0,-0.04289035158730158,0.030042319841269826,0.08208333333333336
286,2018-03-04,4,7,7,4,9,5,0.129495,0.11035666666666666,0.03333333333333333,-0.04146005158730158,0.023399619841269825,0.10541666666666667
287,2018-03-11,2,8,5,1,9,5,0.04199666666666667,0.18473,0.5166666666666666,-0.05160649603174603,0.016765119841269827,0.12930555555555556
288,2018-03-18,6,6,11,5,12,6,0.11126700680272109,-0.02116241496598639,0.04081632653061224,-0.01188479535147392,0.014648878344671188,0.0833871882086168
289,2018-03-25,3,8,9,2,14,4,0.07045694444444443,0.15557222222222222,0.125,0.014840232426303857,0.040530100566893414,0.08922052154195012
290,2018-04-01,11,8,7,6,15,5,-0.20415056689342403,-0.06570385487528344,-0.06462585034013604,-0.0012122409297052133,0.049841548412698396,0.09317460317460319
291,2018-04-08,2,4,11,6,5,6,-0.04085694444444443,0.20492388888888888,0.05277777777777778,-0.01575626870748299,0.061205187301587284,0.055952380952380976
292,2018-04-15,4,6,9,5,8,6,-0.01133666666666668,0.04412333333333333,-0.06666666666666665,-0.022211268707482988,0.04755568730158728,0.04761904761904764
293,2018-04-22,8,5,9,4,9,9,-0.190255,-0.05184,0.2214285714285714,-0.02682160204081633,0.04796335396825395,0.06365079365079367
294,2018-04-29,3,11,11,5,14,6,0.13127222222222223,0.09965666666666667,-0.09722222222222222,-0.004637133786848072,0.06211858412698412,0.07615079365079366
295,2018-05-06,2,2,10,2,5,7,0.2881638888888889,0.19274722222222226,0.3055555555555555,0.03260525510204082,0.08534037301587301,0.10670634920634922
296,2018-05-13,2,11,8,1,14,6,0.09021349206349205,0.16665555555555553,0.21428571428571427,0.028677104308390024,0.0909702619047619,0.1248015873015873
297,2018-05-20,3,8,10,2,15,4,-0.0005173809523809557,0.16322976190476193,0.05238095238095238,0.024425699546485262,0.08882023809523808,0.07837301587301589
298,2018-05-27,4,2,10,5,8,3,-0.016293055555555557,0.1541861111111111,-0.2638888888888889,0.011669693310657597,0.10635509070294784,0.04790249433106577
299,2018-06-03,6,0,10,2,9,5,0.05473750000000001,0.011021249999999996,0.2875,0.010097748866213157,0.09189999348072561,0.06415249433106578
300,2018-06-10,1,3,5,3,4,2,0.13239333333333334,0.22034333333333334,-0.033333333333333326,0.04375213888888889,0.1205047123015873,0.06728174603174604
301,2018-06-17,1,5,4,4,5,1,0.2304166666666667,0.31666666666666665,-0.25,0.07087950000000001,0.13167899007936507,0.037003968253968275
302,2018-06-24,3,3,4,2,4,4,-0.004564999999999997,-0.015075000000000015,0.05,0.07155666666666667,0.12575915674603172,0.048670634920634934
303,2018-07-01,4,2,6,2,7,3,0.06970666666666667,0.07980666666666666,0.05,0.09755283333333334,0.1389238234126984,0.0315277777777778
304,2018-07-08,3,2,7,1,9,2,0.12243333333333334,0.11385,0.05555555555555555,0.09666894444444446,0.14034315674603176,0.04680555555555557
305,2018-07-15,6,0,3,4,4,1,-0.012661111111111114,-0.13471111111111114,-0.3611111111111111,0.06658644444444446,0.10759732341269838,-0.01986111111111109
306,2018-07-22,3,3,6,3,6,3,0.16316666666666668,0.08964791666666666,0.08333333333333333,0.07388176190476192,0.09989655952380952,-0.032956349206349184
307,2018-07-29,1,1,5,1,4,2,0.10162,0.34726,0.3,0.08409550000000002,0.1182995833333333,-0.008194444444444426
308,2018-08-05,1,3,6,1,7,2,0.056010000000000004,0.12557666666666667,0.06666666666666667,0.09132580555555557,0.11543863888888886,0.02486111111111113
309,2018-08-12,0,1,3,0,3,1,-0.006616666666666669,0.1553166666666667,0.16666666666666666,0.0851903888888889,0.12986818055555555,0.0127777777777778
310,2018-08-19,1,10,11,2,12,8,0.13991408163265306,0.09951408163265307,0.2836734693877551,0.08594246371882087,0.1177852553854875,0.04447845804988664
311,2018-08-26,1,2,12,1,7,7,0.174815,0.418785,0.4,0.0803822970521542,0.12799708871882082,0.10947845804988665
312,2018-09-02,1,3,4,1,2,5,0.14903333333333332,0.27075,0.5833333333333334,0.09574213038548754,0.15657958871882086,0.16281179138321997
313,2018-09-09,3,2,8,3,7,3,0.009500000000000008,0.21434666666666669,0.03333333333333334,0.08972146371882088,0.17003358871882085,0.16114512471655335
314,2018-09-16,3,6,10,4,10,5,0.2733736111111111,0.11677361111111112,0.06944444444444445,0.10481549149659863,0.17032594982993196,0.16253401360544223
315,2018-09-23,0,1,9,2,6,2,0.015246666666666667,0.3849066666666666,0.1,0.10760626927437644,0.22228772760770976,0.20864512471655333
